rank,name,role,company,channel,how_to_reach,why_them,status
16,Cassandra Matter,Communications Director,Office of Supervisor Bilal Mahmood,"Email via office, published",MahmoodStaff@sfgov.org / 415-554-7630,"A public ledger of decisions the office did not have to defend is a communications asset. Different pitch, same office, and comms people answer email faster.",not yet
17,William Macfie,Community Affairs Aide,Office of Supervisor Bilal Mahmood,"Email via office, published",MahmoodStaff@sfgov.org / 415-554-7630,Community affairs hears the neighborhood complaints about corners before anyone else does.,not yet
18,Jackie Fielder,"Supervisor, District 9",SF Board of Supervisors,"Email + phone, published",fielderstaff@sfgov.org / 415-554-5144,"Only 2 watched corners, 16th and Caledonia and 16th and Rondel, but they carry 4 of the 12 fatalities in the entire watched set. The sharpest single statistic you have for one office.",not yet
19,Jennifer Ferrigno,Legislative Aide,Office of Supervisor Jackie Fielder,"Email via office, published",fielderstaff@sfgov.org / 415-554-5144,"Two corners, four deaths. That fits in one sentence to an aide.",not yet
20,Sheila Chung Hagen,Legislative Aide,Office of Supervisor Jackie Fielder,"Email via office, published",fielderstaff@sfgov.org / 415-554-5144,Second D9 aide. Same one-sentence hook.,not yet
21,Ana Herrera,Legislative Aide,Office of Supervisor Jackie Fielder,"Email via office, published",fielderstaff@sfgov.org / 415-554-5144,Third D9 aide.,not yet
22,Sasha Gaona,Legislative Aide,Office of Supervisor Jackie Fielder,"Email via office, published",fielderstaff@sfgov.org / 415-554-5144,Fourth D9 aide.,not yet
23,Brian Xi,Funding Policy and Programs,Metropolitan Transportation Commission,"Email + phone, published",bxi@bayareametro.gov / 415-778-4433,"Staffs the Bay Area Vision Zero Working Group, whose members come from cities, counties, transit agencies and universities. One conversation is a route to every Vision Zero program in the region, and he is the named staff contact.",not yet
24,Megan Wier,Assistant Director,Oakland Department of Transportation,"LinkedIn DM, or via MTC working group intro from Brian Xi",VERIFY EMAIL FIRST. OakDOT general line via oaklandca.gov. Warmer route: ask Brian Xi for the intro.,Co-chaired San Francisco's Vision Zero Task Force from its inception and ran SFDPH's health and equity program before OakDOT. She is the one person on this list who has lived on both sides of exactly this data.,not yet
25,Rafael Mandelman,"Supervisor, District 8, Board President",SF Board of Supervisors,Email + phone via Board office,"board.of.supervisors@sfgov.org / 415-554-5184, ask for the D8 office","Board President. No watched corners in D8, so this is a citywide-policy conversation rather than a corner conversation.",not yet
26,Connie Chan,"Supervisor, District 1",SF Board of Supervisors,Email + phone via Board office,"board.of.supervisors@sfgov.org / 415-554-5184, ask for the D1 office","Same role as the three priority offices. No watched corners in D1: pitch is expanding the roster, not fixing her corners.",not yet
27,Myrna Melgar,"Supervisor, District 7",SF Board of Supervisors,Email + phone via Board office,"board.of.supervisors@sfgov.org / 415-554-5184, ask for the D7 office",Same as above. Useful only if the roster expands past the current 25 corners.,not yet
28,Shamann Walton,"Supervisor, District 10",SF Board of Supervisors,Email + phone via Board office,"board.of.supervisors@sfgov.org / 415-554-5184, ask for the D10 office",Same as above.,not yet
29,Danny Sauter,"Supervisor, District 3",SF Board of Supervisors,Email + phone via Board office,"board.of.supervisors@sfgov.org / 415-554-5184, ask for the D3 office","Same as above. D3 borders D6, so roster expansion is plausible here.",not yet
30,Chyanne Chen,"Supervisor, District 11",SF Board of Supervisors,Email + phone via Board office,"board.of.supervisors@sfgov.org / 415-554-5184, ask for the D11 office",Same as above.,not yet
31,Stephen Sherrill,"Supervisor, District 2",SF Board of Supervisors,Email + phone via Board office,"board.of.supervisors@sfgov.org / 415-554-5184, ask for the D2 office",Same as above.,not yet
32,Alan Wong,"Supervisor, District 4",SF Board of Supervisors,Email + phone via Board office,"board.of.supervisors@sfgov.org / 415-554-5184, ask for the D4 office",Same as above.,not yet
33,Berkeley Transportation Division,"Transportation Division, Public Works",City of Berkeley,"Email + phone + in person, published","transportation@berkeleyca.gov / 510-981-7010 / 1947 Center Street, 4th Floor, Mon-Fri 8:30-4:30","Berkeley has an adopted Vision Zero Action Plan and a walk-in office fifteen minutes from campus. No named staffer found online, so walking in and asking who owns the Vision Zero data is the fastest way to get one.",not yet
34,Ted Graff,"Parking, Curb Management, Operations and Enforcement",SFMTA Streets Division,"LinkedIn DM, or SFMTA Board public comment","VERIFY EMAIL FIRST, see row 6.",Adjacent rather than central: curb and enforcement rather than the collision record. Worth a message only after rows 6 to 10 have gone out.,not yet
35,Erica Kato,Chief Spokesperson and Media Relations Manager,SFMTA,"Email, published and verified",Erica.Kato@sfmta.com,"Not a buyer. She is the one verified individual SFMTA address found, which makes her the cheapest way to confirm the First.Last@sfmta.com pattern and to get routed to the right desk. Treat as a routing call, not a pitch.",not yet
